id,s_fs_lev,level_description,s_fs_name_v
3022,6.0,diploma,Diploma in health admin
3023,6.0,diploma,Justice
3024,8.0,bachelor,Bachelor of Animation
3025,3.0,certificate iii,CSWE III
3026,10.0,,Welding course
3027,3.0,certificate iii,Cert3 automotive
3028,8.0,bachelor,Bachelor of business
3029,8.0,bachelor,Bachelor of nursing
3030,8.0,bachelor,Bachelor of nursing
3031,4.0,certificate iv,Education Support
3032,4.0,certificate iv,IV Disability
3033,8.0,bachelor,Bachelor of Education (Honours) in Early Years and Primary Education at Monash University.
3034,3.0,certificate iii,Special effects
3035,4.0,certificate iv,Accounting and bookkeeping
3036,4.0,certificate iv,Certificate 4 of legal studies
3037,8.0,bachelor,bachelors of engineering (majoring in robotics and mechatronics)
3038,3.0,certificate iii,Cert III in pathology collection
3039,4.0,certificate iv,Cert IV vet nursing
3040,4.0,certificate iv,Age care for four levels
3041,6.0,diploma,Diploma of Community Services
3042,4.0,certificate iv,Certificate 4 in accounting and bookkeeping
3043,4.0,certificate iv,Cyber security
3044,8.0,bachelor,Bachelor of Business Major in Finance
3045,3.0,certificate iii,Cert 3 in building and construction
3046,3.0,certificate iii,Cert 3 in business
3047,9.0,higher than a degree,Bachelor of Creative Writing
3048,8.0,bachelor,Bachelor of exercise and sports science
3049,3.0,certificate iii,Cert 3 in Auslan
3050,7.0,advanced diploma,Associate Degree in Interior decoration and design
3051,4.0,certificate iv,Cert IV Accounting  with SWTafe
3052,4.0,certificate iv,Accountant and bookeeping
3053,6.0,diploma,Diploma of Accounting
3054,3.0,certificate iii,Certificate 3 building and construction: carpentry at Swinburne
3055,4.0,certificate iv,Education support
3056,5.0,vce or vcal,VCE 11
3057,3.0,certificate iii,Certificate 3 in Electrial Supply Industry
3058,6.0,diploma,Diploma in Early childhood education and cate
3059,6.0,diploma,diploma of early childhood education and care
3060,8.0,bachelor,Bachelor of Education (Primary)
3061,3.0,certificate iii,Certificate III in Building and Construction - Carpentry
3062,3.0,certificate iii,Certificate 3 in automotive light vehicle
3063,6.0,diploma,Diploma in Building and construction
3064,4.0,certificate iv,Cert 4 agriculture
3065,3.0,certificate iii,Plumbing
3066,8.0,bachelor,Bachelor of Business major in accounting
3067,8.0,bachelor,Bachelor of nursing
3068,8.0,bachelor,Bachelor of Health Sciences
3069,3.0,certificate iii,Certificate III in Early Childhood
3070,4.0,certificate iv,Certificate IV in Veterinary Nursing
3071,8.0,bachelor,Information Technology
3072,6.0,diploma,Diploma in Event Management
3073,6.0,diploma,diploma of early childhood education and care
3074,6.0,diploma,Diploma in early childhood
3075,3.0,certificate iii,Security
3076,8.0,bachelor,Bachelor of Biomedical Science
3077,8.0,bachelor,Fashion textiles and merchandising
3078,2.0,certificate ii,Certificate 2 in Horticulture together with Holmesglen Gardening traineeship
3079,3.0,certificate iii,Cert 3 mechanical trade
3080,6.0,diploma,Diploma of nursing
3081,8.0,bachelor,Bachelor of Nursing
3082,5.0,vce or vcal,Diploma in teaching
3083,9.0,higher than a degree,Masters of Art Therapy
3084,6.0,diploma,Diploma in Community Services
3085,6.0,diploma,Diploma in Community Services
3086,2.0,certificate ii,Certificate 2 EAL
3087,7.0,advanced diploma,Advanced Diploma of Building Surveying.
3088,1.0,certificate i,Work Education 1
3089,6.0,diploma,Diploma of Community Services
3090,3.0,certificate iii,Cert 3 building construction
3091,6.0,diploma,Diploma of leadership and management
3092,4.0,certificate iv,Spatial Information Services
3093,3.0,certificate iii,Cert 3 in electro technology
3094,4.0,certificate iv,Certificate IV in Mental Health
3095,4.0,certificate iv,cert IV in cybersecurity
3096,6.0,diploma,Diploma or nursing
3097,6.0,diploma,Diploma in building and construction
3098,3.0,certificate iii,Cert 111 child care education
3099,7.0,advanced diploma,Advanced Diploma of Professional Game Development
3100,8.0,bachelor,Bachelor of Community Services
3101,8.0,bachelor,Social works
3102,8.0,bachelor,Bachelor of sport and exercise science
3103,2.0,certificate ii,Carpentry pre app
3104,4.0,certificate iv,Education Support
3105,4.0,certificate iv,Certificate IV digital games/screen and media
3106,7.0,advanced diploma,Advanced Diploma of building design
3107,8.0,bachelor,Bachelor of nursing.
3108,6.0,diploma,Diploma of Paramedical Science with NPT Group
3109,8.0,bachelor,Bachelor of nursing
3110,9.0,higher than a degree,Master of Science (Astronomy)
3111,6.0,diploma,diploma of early childhood in Australia
3112,8.0,bachelor,bachelors degree in agriculture
3113,5.0,vce or vcal,VCAL
3114,8.0,bachelor,Bachelor of nurding
3115,1.0,certificate i,2nd year Work Ed
3116,6.0,diploma,diploma of early childhood education and care
3117,3.0,certificate iii,SHB30416 Certificate III in hairdressing
3118,6.0,diploma,Diploma of cosmetic Nursing
3119,6.0,diploma,Diploma of Software development
3120,4.0,certificate iv,Cert IV assessment and training
3121,7.0,advanced diploma,It s an updated version of the old course. The old one expired half way through completion which is a big disruption.
3122,6.0,diploma,Community service
3123,4.0,certificate iv,Cert 4 in community activity programs at SEDA
3124,3.0,certificate iii,I m an apprentice chef
3125,4.0,certificate iv,Certificate 4 in library management
3126,3.0,certificate iii,Certificate III in Electrotechnology Electrician UEE30811
3127,3.0,certificate iii,Disability
3128,4.0,certificate iv,Certificate 4 in Youth Work
3129,6.0,diploma,Diploma of Community Services
3130,9.0,higher than a degree,Speech pathology
3131,4.0,certificate iv,Cert 4 in Visual Arts
3132,6.0,diploma,Diploma in early childhood care and education
3133,3.0,certificate iii,commercial cookery
3134,1.0,certificate i,I done community  collegs Gippsland  courses  before this one
3135,4.0,certificate iv,Community service
3136,4.0,certificate iv,Cert 4 accounting & bookkeeping
3137,10.0,,Understanding Dementia
3138,4.0,certificate iv,Cert 4 education support
3139,9.0,higher than a degree,Property and valuation
3140,4.0,certificate iv,Medical reception
3141,9.0,higher than a degree,Master of Physiotherapy practice
3142,8.0,bachelor,Bachelor of business (event management/marketing)
3143,2.0,certificate ii,Business
3144,3.0,certificate iii,Diploma of early childhood education and care.
3145,8.0,bachelor,Bachelor in Early Years
3146,3.0,certificate iii,Certificate 3 in community services
3147,7.0,advanced diploma,Advanced diploma in early childhood education
3148,2.0,certificate ii,Carpenter
3149,4.0,certificate iv,Allied health assitant
3150,8.0,bachelor,Bachelor of Nursing
3151,4.0,certificate iv,Continuing the Certificate IV - Engineering (Heavy and Light Fabrication)
3152,6.0,diploma,Dip in mental health
3153,7.0,advanced diploma,Advanced Diploma of Financial Planning.
3154,3.0,certificate iii,Aged care
3155,8.0,bachelor,Bachelor of criminology
3156,4.0,certificate iv,Certificate IV Disability
3157,2.0,certificate ii,Certificate II in security
3158,6.0,diploma,Diploma of Nursing
3159,8.0,bachelor,Bachelor of social work
3160,2.0,certificate ii,Installation of split systems up to 18 kW
3161,3.0,certificate iii,Certificate III Electrical Fitting
3162,3.0,certificate iii,Teacher Aid
3163,6.0,diploma,Diploma of Business Administration
3164,4.0,certificate iv,Certificate 4 Engineering
3165,3.0,certificate iii,Chisholm
3166,3.0,certificate iii,Certificate III   Business Traineeship
3167,4.0,certificate iv,Personal Training
3168,2.0,certificate ii,Certificate 2 in pre-Aprenticeship plumbing
3169,8.0,bachelor,Bachelor of design (architecture)
3170,2.0,certificate ii,Community service
3171,4.0,certificate iv,Certificate IV Allied Health Assistance
3172,4.0,certificate iv,Cert IV WHS
3173,1.0,certificate i,Real estate
3174,4.0,certificate iv,C4 Disability
3175,8.0,bachelor,Bachelor of Cyber Security
3176,8.0,bachelor,Bachelor of Arts
3177,8.0,bachelor,Bachelor of Acting for Stage and Screen
3178,3.0,certificate iii,Visual Arts Certificate III
3179,6.0,diploma,Diploma of Building and construction (building)
3180,8.0,bachelor,Masters of clinical exercise physiology
3181,10.0,,Introduction to espresso making
3182,6.0,diploma,Diploma of Professional Writing and Editing
3183,10.0,,Leisure :lifestyle through skills training as there was nothing available at the time through intercare
3184,8.0,bachelor,Bachelor of Design
3185,4.0,certificate iv,Certificate IV Accounting
3186,6.0,diploma,Diploma of Early childhood education and care
3187,10.0,,XPlan Planning Software
3188,4.0,certificate iv,certificate 4 in training and assessment
3189,3.0,certificate iii,Chemical spraying course
3190,6.0,diploma,Diploma of sport and development
3191,8.0,bachelor,psychological criminology
3192,5.0,vce or vcal,Vcal senior year 12
3193,10.0,,Cnh industrial
3194,2.0,certificate ii,Very 2 Auslan
3195,4.0,certificate iv,Certificate IV in Building and Construction
3196,3.0,certificate iii,Certificate III in Hospitality (Table Games)
3197,4.0,certificate iv,Certificate 4 in Veterinary Nursing
3198,5.0,vce or vcal,BCE
3199,1.0,certificate i,Eng 1
3200,4.0,certificate iv,Cert IV Dental Assisting - Radiography
3201,5.0,vce or vcal,Young parents vcal inter
3202,6.0,diploma,Diploma of Animal Technology
3203,4.0,certificate iv,Cert IV building and construction
3204,4.0,certificate iv,Disability
3205,4.0,certificate iv,Cert IV disability
3206,9.0,higher than a degree,Bachelor of nursing
3207,6.0,diploma,Diploma in Community Services
3208,9.0,higher than a degree,Bachelors in civil engineering and business
3209,5.0,vce or vcal,Year 11 equivalent
3210,4.0,certificate iv,Cert 4 in Photoimaging (continuation from last year)
3211,5.0,vce or vcal,VCAL Intermediate
3212,1.0,certificate i,General education for young adults certificate one
3213,6.0,diploma,Diploma of paramedical science
3214,3.0,certificate iii,Hairdressing
3215,4.0,certificate iv,Building and construction
3216,3.0,certificate iii,Mobile plant mechanic
3217,9.0,higher than a degree,Masters of Buisness Adminstration
3218,3.0,certificate iii,Plumbing
3219,8.0,bachelor,bachelors of Hospitality Management
3220,6.0,diploma,Travel and tourism
3221,3.0,certificate iii,cert 3 individual support for the aged
3222,8.0,bachelor,Bachelors of Nursing
3223,4.0,certificate iv,Dental Assistant certificate 3 and 4
3224,3.0,certificate iii,Commercial Cookery Cert IIi
3225,7.0,advanced diploma,Advanced Diploma of Engineering Technology
3226,8.0,bachelor,Bachelor of Arts (Creative Writing) at RMIT
3227,8.0,bachelor,Bachelor of Education
3228,4.0,certificate iv,Plumbing
3229,6.0,diploma,Bachelor of Arts
3230,8.0,bachelor,Bachelor of Education (secondary)
3231,8.0,bachelor,"Bachelor of film, television and animation"
3232,8.0,bachelor,Bachelor of Early Years and Primary Teaching
3233,8.0,bachelor,Doctor of Veterinary Medicine
3234,2.0,certificate ii,Certificate II in Electro-technology
3235,6.0,diploma,Diploma of Building and Construction
3236,4.0,certificate iv,Certificate 4 in Mechanical Engineering
3237,8.0,bachelor,Science
3238,6.0,diploma,Diploma of Nursing
3239,8.0,bachelor,"Bachelor of Arts, criminology major"
3240,6.0,diploma,If I have chance to study again I would study diploma of childcare or sertificate IIII
3241,4.0,certificate iv,Cert IV in Allied Health Assistance (Physiotherapy)
3242,7.0,advanced diploma,Advance Community Management
3243,4.0,certificate iv,Certificate IV in Tertiary Preparation
3244,8.0,bachelor,Bachelor of Criminal Law and Criminology
3245,4.0,certificate iv,Cert  IV of diversity s/ age care....
3246,4.0,certificate iv,Engineering
3247,4.0,certificate iv,Allied Health
3248,3.0,certificate iii,Gds
3249,4.0,certificate iv,Accounting and book keeping
3250,1.0,certificate i,work education
3251,8.0,bachelor,I have returned to the study i was undertaking before the Certificate III in cabinet making a double Bachelors Degree in Arts/Teaching
3252,6.0,diploma,Diploma of Nursing at ACU college
3253,5.0,vce or vcal,VCE year 11
3254,3.0,certificate iii,Certificate 3 in Visual Arts
3255,7.0,advanced diploma,Same course different TAFE.
3256,8.0,bachelor,Bachelor Of Business Marketing
3257,6.0,diploma,Diploma of Accounting
3258,3.0,certificate iii,Stable handling
3259,3.0,certificate iii,Electrotechnology
3260,6.0,diploma,Diploma in training design and development
3261,6.0,diploma,Diploma of Nursing
3262,6.0,diploma,Diploma community services
3263,6.0,diploma,diploma in building and construction
3264,3.0,certificate iii,Certificate 3 in early childcare
3265,3.0,certificate iii,Cert III in Tourism
3266,8.0,bachelor,Registered nurseing.
3267,2.0,certificate ii,Cabinet making ( joinery )
3268,8.0,bachelor,Associate Degree Health sciences
3269,3.0,certificate iii,Certificate 3 in electrotechnolgy
3270,10.0,,Communication
3271,6.0,diploma,Diploma in Children's Services
3272,8.0,bachelor,Bachelor of Design (Industrial Design) (Honours)
3273,3.0,certificate iii,Cert 3 automotive
3274,4.0,certificate iv,Certificate IV in Veterinary Nursing
3275,3.0,certificate iii,Certificate 3 cabinet making
3276,7.0,advanced diploma,Advanced diploma of building design
3277,3.0,certificate iii,Construction
3278,6.0,diploma,Diploma of Nursing
3279,1.0,certificate i,Anything to do with cooking
3280,9.0,higher than a degree,Graduate diploma
3281,3.0,certificate iii,Cert 3 Electrotecnology
3282,4.0,certificate iv,Certificate IV in Veterinary Nursing
3283,6.0,diploma,Diploma in Community Services
3284,6.0,diploma,Diploma of Library and Information Services
3285,7.0,advanced diploma,Advanced Diploma of Visual Arts
3286,6.0,diploma,Diploma of mental health
3287,6.0,diploma,Diploma of health science
3288,2.0,certificate ii,Marine engine driver 3
3289,6.0,diploma,Diploma of Early Childhood Education and Care
3290,3.0,certificate iii,Cert 3 in Meat Processing
3291,3.0,certificate iii,EAl3
3292,4.0,certificate iv,Certificate IV in dental assistant
3293,1.0,certificate i,Certificate 1 in in general education for adults
3294,3.0,certificate iii,Carpentry - Building and Construction
3295,8.0,bachelor,Bachelors degree of nursing
3296,8.0,bachelor,Bachelor of Accounting
3297,4.0,certificate iv,cert 4 in IT. and now Diploma of Software Development
3298,4.0,certificate iv,Cert Iv disablity
3299,5.0,vce or vcal,Vcal Senior Certificate
3300,6.0,diploma,Continuing nursing diploma
3301,3.0,certificate iii,Certificate III in Electrotechnology (Electrician)
3302,6.0,diploma,Enrolled Nursing
3303,4.0,certificate iv,TAE Upgrade ASS502
3304,6.0,diploma,Diploma of Accounting
3305,8.0,bachelor,Bach of Business
3306,8.0,bachelor,Bachelor of psychological sciences
3307,8.0,bachelor,Bachelor of Nursing.
3308,3.0,certificate iii,Certificate III in Logistics
3309,4.0,certificate iv,Certificate IV furniture design
3310,2.0,certificate ii,Certi 2 Education for Adults
3311,4.0,certificate iv,Cert IV in Accounting and Bookkeeping
3312,3.0,certificate iii,Certificate 3 General Education for Adults.
3313,4.0,certificate iv,Cert 4 in writing and editing
3314,8.0,bachelor,master of teaching
3315,4.0,certificate iv,Certificate 4 further studies
3316,2.0,certificate ii,write and read
3317,6.0,diploma,Nursing course
3318,8.0,bachelor,Bachelor of Creative Arts - Visual Communication Design
3319,8.0,bachelor,Bachelor of community services
3320,3.0,certificate iii,Baking
3321,8.0,bachelor,Bachelor of exercise science
3322,4.0,certificate iv,Certificate IV in Business
3323,4.0,certificate iv,Certificate IV in Business
3324,3.0,certificate iii,Warehouseing
3325,2.0,certificate ii,real estate representative agent
3326,2.0,certificate ii,Automotive
3327,2.0,certificate ii,22485VIC Certificate II in EAL (Access)
3328,8.0,bachelor,Bachelor of IT
3329,6.0,diploma,Diploma of Marketing and Communication
3330,4.0,certificate iv,Cert 4
3331,4.0,certificate iv,ICT
3332,6.0,diploma,Diploma of Graphic Design
3333,3.0,certificate iii,Cert 3 in carpentry
3334,6.0,diploma,Diploma in community service
3335,3.0,certificate iii,Individual support
3336,8.0,bachelor,Bachelor of IT
3337,4.0,certificate iv,Allied Health Assistance - Sport and Fitness
3338,3.0,certificate iii,Certificate III in Construction Waterproofing
3339,9.0,higher than a degree,Bachelor of nursing
3340,3.0,certificate iii,Independent living disability
3341,4.0,certificate iv,Horticulture Certificate IV
3342,4.0,certificate iv,Certificate IV in Agriculture
3343,4.0,certificate iv,Education Support
3344,3.0,certificate iii,Certificate III in Electrical (Electrotechnology)
3345,3.0,certificate iii,Education support
3346,4.0,certificate iv,"Same, cert iv plumbing"
3347,8.0,bachelor,Bachelor of Nursing
3348,3.0,certificate iii,Bakers delght
3349,8.0,bachelor,Bachelor of Business
3350,6.0,diploma,Diploma of Health Science with ACNT
3351,6.0,diploma,Diploma of accounting
3352,3.0,certificate iii,Certificate III in Electrotechnology Electrician
3353,2.0,certificate ii,Emergency Communication
3354,6.0,diploma,Diploma of Community Services (Case Management)
3355,6.0,diploma,Na
3356,9.0,higher than a degree,Master of Cultural Matetials Conservation.
3357,4.0,certificate iv,Certificate IV VET NURSING
3358,2.0,certificate ii,White card
3359,6.0,diploma,Diploma of early childhood education and care
3360,8.0,bachelor,Bachelor of paramedicine
3361,3.0,certificate iii,Cert 3 in automotive body repair technology
3362,1.0,certificate i,Work Education
3363,4.0,certificate iv,Vet nursing
3364,7.0,advanced diploma,Advanced Diploma of Screen and Media
3365,3.0,certificate iii,vet nursing
3366,4.0,certificate iv,Certificate IV in Disability
3367,4.0,certificate iv,Certificate IV Education Support
3368,8.0,bachelor,Bachelor degree of counseling
3369,5.0,vce or vcal,hospitality
3370,3.0,certificate iii,Individual support
3371,4.0,certificate iv,Engineering Fabrication
3372,4.0,certificate iv,Cert 4 agriculture
3373,6.0,diploma,Diploma of Nursing
3374,8.0,bachelor,Degree business marketing applied
3375,6.0,diploma,Nursing
3376,8.0,bachelor,Bachelor of Science -Biotechnology
3377,7.0,advanced diploma,Advanced Diploma of Visual Arts
3378,8.0,bachelor,Bachelor of Cybersecurity
3379,6.0,diploma,Diploma of design
3380,4.0,certificate iv,IV in Accounting and Bookkeeping
3381,4.0,certificate iv,Accounting
3382,8.0,bachelor,Bachelor of Landscape Architectural Design
3383,10.0,,Education support special needs
3384,8.0,bachelor,Bachelor of Arts
3385,6.0,diploma,Nursing
3386,3.0,certificate iii,cert 3 electro technology
3387,4.0,certificate iv,Veterinary Nursing
3388,4.0,certificate iv,Disability
3389,8.0,bachelor,Bachelor of accounting
3390,7.0,advanced diploma,adv diploma engineering electrical
3391,10.0,,medication
3392,6.0,diploma,Diploma of Early Childhood Education and Care
3393,6.0,diploma,Diploma of paramedical science
3394,3.0,certificate iii,Barbering
3395,4.0,certificate iv,Certificate IV in disability
3396,6.0,diploma,Game design
3397,6.0,diploma,Hospitality
3398,1.0,certificate i,Certificate 1
3399,8.0,bachelor,Nutrition
3400,9.0,higher than a degree,Decline to answer
3401,8.0,bachelor,Bachelor of Civil Engineering (Honours)
3402,8.0,bachelor,Bachelor of Criminology and Psychological science
3403,6.0,diploma,Diploma of Nursing
3404,4.0,certificate iv,Cert iv visual arts
3405,3.0,certificate iii,Nail Technology
3406,9.0,higher than a degree,Bachelor in Cyber Security
3407,4.0,certificate iv,Fitness and personal training
3408,3.0,certificate iii,Business Administration Education
3409,3.0,certificate iii,Certificate 3 barbering
3410,4.0,certificate iv,Lcertificate 4 in leisure and health
3411,4.0,certificate iv,Certificate IV in Government
3412,6.0,diploma,Diploma of Mental Health
3413,6.0,diploma,Diploma of Early childhood education and care.
3414,10.0,,Wheelchair accessible
3415,4.0,certificate iv,Certificate llll plumbing
3416,9.0,higher than a degree,Bachelor of Design (Architecture)
3417,6.0,diploma,Diploma In Visual Merchandising
3418,8.0,bachelor,Bachelor of Business with Major in Human Resource Management
3419,8.0,bachelor,applied Bachelors of business
3420,4.0,certificate iv,Training and assessment
3421,8.0,bachelor,Bachelor of Animation
3422,3.0,certificate iii,Commercial Cookery
3423,3.0,certificate iii,Certificate of Individual Support
3424,3.0,certificate iii,Electrotech electrical
3425,3.0,certificate iii,Cert 111 retalier
3426,6.0,diploma,Diploma of Community Services
3427,3.0,certificate iii,Cert 3 in light auto mechanics
3428,3.0,certificate iii,"Certificate III in Business Administration, (also offered by Sarina Russo Job Access through their Institute, as an alternative to Work For The Dole)."
3429,5.0,vce or vcal,Individual Support
3430,3.0,certificate iii,individual support
3431,10.0,,don't know
3432,7.0,advanced diploma,I have recently completed the course but i completed an Advance Diploma of Applied Fashion Design and Merchandising
3433,8.0,bachelor,Bachelor of Education (honours) - Early Childhood and Primary Education
3434,3.0,certificate iii,Warehousing
3435,8.0,bachelor,Bachelor of Fine Arts
3436,8.0,bachelor,Bachelor of nursing
3437,3.0,certificate iii,light vehicle automotive
3438,4.0,certificate iv,Certificate IV Community services.
3439,3.0,certificate iii,Hospitality Front of House
3440,4.0,certificate iv,Certificate 4
3441,4.0,certificate iv,Cert IV Accounting and bookkeeping
3442,2.0,certificate ii,Carpentry
3443,8.0,bachelor,Bachelor in International Studies
3444,4.0,certificate iv,Certificate IV in Education Support
3445,2.0,certificate ii,Salon Assistant
3446,10.0,,still completing cert III plumbing
3447,4.0,certificate iv,Certificate 4 in agriculture
3448,4.0,certificate iv,Certificate IV in Agriculture
3449,5.0,vce or vcal,vce
3450,5.0,vce or vcal,1st year electrician apprentice
3451,6.0,diploma,Diploma in Building and Constructions
3452,8.0,bachelor,Fundementals of math
3453,4.0,certificate iv,plumbing cert 4
3454,4.0,certificate iv,Cabinet making
3455,8.0,bachelor,Bachelor of Sustainable Systems Engineering
3456,3.0,certificate iii,Plumbing
3457,8.0,bachelor,Architectural design
3458,2.0,certificate ii,certificate ii in eal
3459,6.0,diploma,Diploma of health science
3460,8.0,bachelor,Bachelor of Illustration Second Year
3461,3.0,certificate iii,Bricklaying cert 3
3462,7.0,advanced diploma,Advanced Diploma of Accounting.  Finished December 2018.
3463,9.0,higher than a degree,Graduate diploma
3464,3.0,certificate iii,Civil construction certificate 3
3465,10.0,,Google Cloud fundamentals
3466,3.0,certificate iii,"Certificate III in Information, Digital Media and Technology"
3467,4.0,certificate iv,Certificate IV In disability
3468,9.0,higher than a degree,Civil engineering degree
3469,4.0,certificate iv,Cyber security
3470,6.0,diploma,Diploma of digital and interactive games
3471,8.0,bachelor,bachelor of civil engineering
3472,4.0,certificate iv,Education Support
3473,3.0,certificate iii,CErt 3 in Electrotechnology
3474,4.0,certificate iv,Certificate IV in Information Technology
3475,3.0,certificate iii,Certificate 3 in Operating theatre technician
3476,2.0,certificate ii,Certificate II in EAL (Access)
3477,3.0,certificate iii,Retail
3478,2.0,certificate ii,Certificate II in Work Education 22481VIC
3479,8.0,bachelor,Bachelor of education (primary)
3480,4.0,certificate iv,Allied Health Assistance Cert 4
3481,8.0,bachelor,Bach of psychological studies
3482,4.0,certificate iv,Certificate IV Accounting and Bookkeeping
3483,9.0,higher than a degree,Not relevant to Gordon TAFE
3484,2.0,certificate ii,Kitchen Ops
3485,5.0,vce or vcal,Vcal
3486,1.0,certificate i,CWE
3487,5.0,vce or vcal,VCE year 12 at RMIT
3488,8.0,bachelor,Honours in Psychology
3489,8.0,bachelor,business
3490,6.0,diploma,I have just finished my study and started as a Primary teacher
3491,8.0,bachelor,Bachelor Business Accounting
3492,4.0,certificate iv,Certificate IV in Design
3493,6.0,diploma,Diploma of nursing
3494,3.0,certificate iii,Certificate III in Education Support
3495,3.0,certificate iii,Certificate III Electrotechnology (Electrician)
3496,4.0,certificate iv,Certificate lV in Disability
3497,4.0,certificate iv,Leadership and management
3498,6.0,diploma,Diploma of Health Science
3499,8.0,bachelor,Bachelor of physical education and sports science
3500,4.0,certificate iv,cert 4 building and construction
3501,8.0,bachelor,Bachelor of Psychology
3502,3.0,certificate iii,CERTIFICATE II IN SECURITY OPERATIONS
3503,10.0,,Aviation screening course
3504,3.0,certificate iii,Certificate 3 in individual support
3505,3.0,certificate iii,COMMERCIAL COOKERY
3506,4.0,certificate iv,Professional writing and editing
3507,8.0,bachelor,Bachelor of Veterinary and Wildlife Sciences
3508,6.0,diploma,Diploma of Early Childhood Education and Care
3509,3.0,certificate iii,Cert 3 in electrotechnogy (electrictian
3510,8.0,bachelor,Bach of education
3511,6.0,diploma,Diploma Conservation and Land Management
3512,4.0,certificate iv,cert 4 in plumbing
3513,8.0,bachelor,Bachelor of Nursing
3514,6.0,diploma,Still the same course just retrying.
3515,10.0,,On line Business development. And Front line Management.
3516,6.0,diploma,Diploma of Nursing
3517,8.0,bachelor,Bachelor of Arts
3518,6.0,diploma,Personal trainer.
3519,3.0,certificate iii,Accounting and book keeping
3520,6.0,diploma,Early childhood education
3521,8.0,bachelor,Psychology and behavioural science
3522,6.0,diploma,Diploma in beauty therapist
3523,6.0,diploma,Diploma in beauty therapy
3524,8.0,bachelor,Bachelor of Social Science with a Major of Behavioral Studies.
3525,6.0,diploma,Diploma of Leadership and Management
3526,1.0,certificate i,Ecl
3527,8.0,bachelor,Bachelor of Occupational Therapy
3528,6.0,diploma,Diploma in Laboratory Techniques
3529,6.0,diploma,Diploma of accounting
3530,8.0,bachelor,Fine Art Degree
3531,6.0,diploma,Diploma Visual Merchandising
3532,3.0,certificate iii,Plumbing
3533,9.0,higher than a degree,Graduate Diploma in Professional Psychology
3534,6.0,diploma,Diploma Leadership and Management
3535,8.0,bachelor,Bachelor of nursing
3536,3.0,certificate iii,Warehouse studies
3537,8.0,bachelor,Bachelor in photography
3538,6.0,diploma,Diploma of Community services(Statuatory and forensic child and youth and family welfare)
3539,8.0,bachelor,Exercise and Sports Science
3540,8.0,bachelor,Bachelor in sports media
3541,3.0,certificate iii,"Individual Support (aging, home and community)"
3542,8.0,bachelor,Batchelor of Education
3543,9.0,higher than a degree,Master of Teaching (Secondary)
3544,4.0,certificate iv,TAE40116 TRAINING AND ASSESSMENT
3545,3.0,certificate iii,Commercial cookery
3546,4.0,certificate iv,Certificate IV of Youth Work
3547,8.0,bachelor,"Bachelor of Animation at Swinburne, Melbourne"
3548,6.0,diploma,Interactive media and games
3549,6.0,diploma,Dual Diploma in Holistic Counseling and Complimentary Therapies.
3550,4.0,certificate iv,Need more skill for myself
3551,3.0,certificate iii,chert 3
3552,6.0,diploma,Diploma
3553,6.0,diploma,Visual arts in diploma
3554,6.0,diploma,Diploma in early childhood
3555,4.0,certificate iv,Civil construction
3556,8.0,bachelor,Bachelor of health science and applied science
3557,4.0,certificate iv,English furthe study level4
3558,8.0,bachelor,Bachelor of Human Nutrition
3559,6.0,diploma,Diploma of Community Services
3560,3.0,certificate iii,Plumbing cert 3
3561,4.0,certificate iv,Certificate 4 in Allied Health Assistance (OT and PT)
3562,3.0,certificate iii,Electrotechnology
3563,6.0,diploma,diplomda of conservation and land management
3564,3.0,certificate iii,Same as this one but with a better company
3565,7.0,advanced diploma,Advanced diploma of visual arts
3566,6.0,diploma,Diploma of business
3567,1.0,certificate i,Not sure but to do with learning English
3568,6.0,diploma,Diploma of logistics
3569,7.0,advanced diploma,Advanced diploma of screenwriting
3570,8.0,bachelor,Bachelor of health science
3571,6.0,diploma,Diploma In Building and Construction
3572,8.0,bachelor,Associate degree of Information Technology
3573,4.0,certificate iv,Educational support
3574,3.0,certificate iii,Certificate 3 in carpentry
3575,3.0,certificate iii,Teachers aide course
3576,8.0,bachelor,Bachelor of Paramedicine
3577,6.0,diploma,Diploma of Professional Writing and Editing
3578,8.0,bachelor,Bachelor of Enterpreneurship
3579,4.0,certificate iv,Tae
3580,4.0,certificate iv,Workplace Health and Safety
3581,3.0,certificate iii,Carpentry Apprenticeship certificate 3
3582,6.0,diploma,Diploma of Leadership & Management
3583,6.0,diploma,"Diploma in school age education and care, Diploma in early childhood education and care"
3584,3.0,certificate iii,Hospital certificate 2 units 3&4
3585,3.0,certificate iii,Heavy diesel mechanic certificate 3
3586,6.0,diploma,Diploma of Information Technology
3587,8.0,bachelor,Bachelors
3588,7.0,advanced diploma,Electrical engineering
3589,6.0,diploma,Diploma of Community Services
3590,6.0,diploma,Dip counselling
3591,10.0,,EAL
3592,4.0,certificate iv,pyschology
3593,4.0,certificate iv,Same course
3594,9.0,higher than a degree,Honours in Nursing  ( Clinical Teaching and Education)
3595,3.0,certificate iii,Certificate 3 in business
3596,8.0,bachelor,Bachelor or Business Management
3597,8.0,bachelor,Bachelor of Nursing (Enrolled Nurses) at ACU
3598,10.0,,Bounce Life Skills.
3599,4.0,certificate iv,Cert IV in building and construction
3600,8.0,bachelor,Bachelor of Educational Studies
3601,3.0,certificate iii,Certificate 3 in early childhood and learn
3602,6.0,diploma,Diploma in Web Development
3603,6.0,diploma,Nursing
3604,8.0,bachelor,Bachelor of Business - Economics and Finance
